"","BEEF","BURGER","PORK","LAMB","CHICKEN","BACON","HAM","CORNED_BEEF","SAUSAGES","SAVOURY_PIES","LIVER","FRIED_FISH","FISH_FINGERS","WHITE_FISH","OILY_FISH","SHELLFISH","ROE","WHITE_BREAD","BROWN_BREAD","WHOLEMEAL_BREAD","CRACKERS","CRISPBREAD","PORRIDGE","CEREAL","BOILED_POTATOES","CHIPS","ROAST_POTATOES","POTATO_SALAD","WHITE_RICE","BROWN_RICE","WHITE_PASTA","WHOLEMEAL_PASTA","LASAGNE","PIZZA","SINGLE_CREAM","DOUBLE_CREAM","LOWFAT_YOGURT","FULLFAT_YOGURT","DAIRY_DESSERT","CHEESE","COTTAGE_CHEESE","EGGS","QUICHE","LOWCAL_SALAD_CREAM","SALAD_CREAM","FRENCH","OTHER_DRESSING","BUTTER","HARD_MARGARINE","POLYUNSATURATED_MARGARINE","OTHER_MARGARINE","LOWFAT_SPREAD","VERY_LOWFAT_SPREAD","CHOCOLATE_BISCUIT","PLAIN_BISCUIT","HOMEBAKED_CAKE","READYMADE_CAKE","HOMEBAKED_BUNS","READYMADE_BUNS","HOMEBAKED_FRUIT_PIES","READYMADE_FRUIT_PIES","MILK_PUDDINGS","ICE_CREAM","CHOCOLATES","CHOCOLATE_BARS","SWEETS","SUGAR","CRISPS","NUTS","VEGETABLE_SOUP","MEAT_SOUP","SAUCES","KETCHUP","PICKLES","MARMITE","JAM","PEANUT_BUTTER","TEA","INSTANT_COFFEE","DECAFF_COFFEE","COFFEE_WHITENER","COCOA","HORLICKS","WINE","BEER","PORT","SPIRITS","LOWCAL_FIZZY_DRINKS","FIZZY_DRINKS","FRUIT_JUICE","FRUIT_SQUASH","APPLES","PEARS","ORANGES","GRAPEFRUIT","BANANAS","GRAPES","MELONS","PEACHES","STRAWBERRIES","TINNED_FRUIT","DRIED_FRUIT","CARROTS","SPINACH","BROCCOLI","SPROUTS","CABBAGE","PEAS","GREEN_BEANS","MARROW","CAULIFLOWER","PARSNIPS","LEEKS","ONIONS","GARLIC","MUSHROOMS","PEPPERS","BEANSPROUTS","GREEN_SALAD","WATERCRESS","TOMATOES","SWEETCORN","BEETROOT","COLESLAW","AVOCADO","BEANS","LENTILS","TOFU"
"UBX",4,1,4,2,4,2,5,1,1,2,1,1,1,3,3,1,1,2,3,4,1,1,5,3,2,1,2,2,3,2,4,4,1,1,3,1,1,4,1,3,6,6,2,1,5,1,1,6,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,4,5,1,2,1,2,6,1,1,1,2,1,2,4,7,1,1,1,4,1,1,2,1,1,5,1,1,4,6,3,2,2,7,1,3,3,3,2,5,4,4,4,2,3,2,4,1,3,2,4,4,4,5,3,1,2,5,3,3,4,1,3,2,3,1
"BUP",3,2,2,2,4,2,4,2,1,1,1,1,1,4,3,1,1,4,4,4,1,1,4,4,3,1,2,1,2,1,3,3,2,1,1,1,4,2,2,4,4,3,1,1,1,1,1,6,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,3,3,1,1,1,1,2,2,2,2,1,1,3,1,4,2,1,1,1,1,1,2,1,1,5,1,3,2,3,3,2,2,3,2,2,2,2,3,3,4,4,3,1,1,2,3,1,2,1,2,3,3,3,3,1,4,2,3,3,2,1,3,1,2,1
"XUT",2,2,2,1,3,1,3,3,3,3,1,1,1,3,2,1,1,5,1,1,1,1,3,6,3,1,2,2,3,1,4,1,1,2,4,1,3,1,2,4,7,5,2,1,3,1,1,5,1,1,1,2,1,1,3,1,1,1,4,1,1,1,1,5,2,2,2,1,1,3,1,1,1,1,1,6,2,6,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,6,1,5,2,1,1,1,1,1,3,1,2,1,2,1,2,1,2,1,3,3,1,3,1,1,3,3,2,1,1,3,1,1,3,1
"GWW",4,1,4,2,4,1,6,1,1,3,1,1,2,3,3,1,1,1,1,7,1,1,1,6,1,1,2,1,4,2,2,4,2,2,1,1,1,6,1,6,2,4,2,5,2,1,2,1,1,1,1,1,1,1,3,2,2,1,1,2,2,1,1,4,4,1,1,1,1,4,1,2,1,1,1,1,2,1,6,2,1,1,1,1,1,1,1,5,2,1,1,6,1,1,1,6,1,1,1,1,1,2,3,3,3,1,2,3,4,2,2,1,3,3,2,3,3,1,5,1,4,2,3,1,2,1,4,1
"OOA",4,2,4,2,4,2,4,2,3,3,2,1,2,3,3,2,2,3,4,4,3,1,4,4,3,2,3,2,3,2,2,3,2,2,3,1,2,2,3,2,3,5,2,2,2,2,2,6,1,1,1,1,1,2,2,3,1,2,2,2,1,1,2,3,2,2,4,2,2,4,1,2,1,2,2,4,1,4,5,1,1,1,1,2,3,1,1,4,2,4,2,3,1,3,2,3,2,2,2,2,1,2,3,2,2,2,2,2,3,1,2,1,2,3,2,2,2,2,3,2,2,2,2,1,2,1,2,1
"DTV",4,2,2,1,4,1,5,1,1,1,1,2,1,3,3,1,1,1,7,7,1,6,6,2,3,1,2,1,4,1,4,1,2,2,2,1,1,1,1,3,6,4,3,1,1,1,1,4,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,6,2,1,3,1,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,5,4,1,1,4,1,4,2,4,1,4,4,3,4,1,3,3,3,1,2,1,2,3,2,1,2,1,1,1,4,4,2,1,5,2,2,1
"ENP",4,2,3,2,5,2,4,2,2,2,1,1,1,3,3,2,1,6,3,6,1,1,6,6,3,2,2,1,4,2,5,2,2,3,2,1,3,6,3,4,5,5,2,3,1,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,2,6,2,5,1,2,4,2,1,2,1,2,1,6,1,6,6,1,1,1,1,2,3,2,1,6,3,2,4,6,1,3,2,6,2,2,2,2,1,3,4,3,3,1,3,3,3,1,3,1,3,4,4,3,3,1,5,4,3,2,2,1,3,2,3,1
"AHC",4,1,2,1,3,1,3,1,1,1,1,1,2,3,3,1,1,3,1,7,1,6,1,6,2,1,2,1,3,1,4,2,2,3,2,1,3,1,1,6,2,4,2,1,2,2,1,7,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,2,3,1,1,2,1,1,1,1,1,3,1,2,7,3,1,1,1,1,2,1,1,4,2,2,1,1,1,3,1,1,2,1,2,2,1,1,2,2,2,1,1,2,3,1,1,1,1,1,1,2,1,1,3,1,3,1,1,1,1,1,2,1
"EOT",3,1,4,1,4,1,4,1,1,2,1,1,3,1,2,1,1,7,1,2,1,1,2,3,3,1,1,2,3,1,4,2,2,1,2,1,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,2,1,3,3,4,1,1,1,2,1,1,1,7,2,1,7,1,2,2,1,2,1,1,1,5,2,5,7,1,1,1,1,2,2,1,1,2,1,5,3,2,2,2,1,4,4,2,2,2,2,5,6,1,2,4,1,3,4,2,1,1,2,2,2,4,3,1,3,3,3,1,2,3,3,3,3,1
"HFF",4,2,5,2,5,2,4,1,1,2,1,1,1,2,3,1,1,5,5,4,1,3,4,4,3,1,3,1,3,1,4,4,2,2,3,1,5,1,6,2,2,5,2,1,1,1,1,5,1,1,1,1,1,6,6,2,5,1,4,2,1,1,1,6,6,1,4,1,4,1,1,1,1,1,1,3,1,1,4,2,1,1,1,1,2,1,1,4,3,1,1,4,2,1,1,4,2,2,1,1,1,2,3,2,2,1,1,2,1,1,2,1,2,3,3,2,2,2,1,1,4,1,1,1,1,2,2,1
"ANI",2,1,1,1,4,2,4,1,3,3,1,1,1,4,3,1,1,7,1,4,2,2,2,6,2,1,2,2,4,2,4,4,3,2,3,1,6,1,1,3,6,7,3,6,1,1,1,6,1,1,2,1,3,3,1,3,3,2,2,1,1,1,1,3,3,1,3,1,1,2,1,6,1,1,1,6,2,7,1,1,1,1,1,1,1,1,1,1,1,1,4,6,1,6,3,6,3,3,1,1,1,6,3,2,3,1,4,4,4,1,1,1,4,4,5,4,4,2,7,7,4,3,4,3,3,2,2,1
"XYU",4,1,3,1,5,1,2,1,1,2,1,1,1,3,3,1,1,7,5,5,1,1,3,4,3,1,1,1,4,2,3,3,1,2,2,1,1,1,2,1,1,4,1,1,1,1,3,1,1,1,1,1,1,3,4,2,1,1,1,2,1,1,1,5,2,2,6,1,1,2,1,1,1,2,1,4,1,3,7,3,1,3,1,1,2,1,1,5,2,3,3,3,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,2,4,1,4,2,5,2,1,1,3,1,2,2
"AZK",4,2,1,4,4,1,1,1,1,1,2,1,1,3,2,1,1,3,3,3,1,1,1,6,3,1,2,1,3,1,2,2,2,2,2,1,1,3,2,2,1,4,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,3,2,1,1,3,1,1,1,1,1,2,2,2,2,3,2,3,2,4,4,4,4,3,2,3,6,2,2,1,2,2,3,1,2,1,4,7,7,3,4,1,4,4,4,2,3,3,3,3,3,1
"OWG",3,1,3,2,4,1,3,1,2,1,1,1,2,3,2,1,1,4,1,4,2,4,1,6,3,2,1,1,4,1,4,2,1,2,2,1,4,3,6,3,2,4,1,1,1,1,3,3,6,1,1,2,1,4,4,2,3,1,3,1,1,1,2,3,4,2,5,2,2,3,1,3,2,2,1,6,1,4,2,1,1,1,1,1,2,1,1,3,2,2,1,4,2,3,1,4,4,3,4,3,2,3,4,2,3,1,2,4,3,2,2,1,3,2,2,3,3,1,3,2,4,4,3,2,3,3,3,1
"MIV",5,2,2,2,4,1,4,1,2,2,1,1,2,3,3,1,1,7,4,2,1,1,1,1,2,1,2,1,3,1,4,1,2,2,3,1,1,1,7,7,2,4,2,1,1,1,1,6,1,1,1,1,1,1,2,1,2,1,4,1,1,1,1,3,3,1,6,1,1,2,1,1,1,1,1,1,1,1,6,1,1,1,1,3,4,1,1,2,2,6,1,6,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,3,1,1,1,1,4,2,1,1,1,3,1,3,1,1,1,1,1,1,1
"LQV",4,2,2,2,5,2,2,2,3,3,2,1,1,3,3,2,1,6,3,2,1,2,1,4,2,2,2,1,3,2,4,2,2,2,4,1,1,5,2,3,2,3,3,2,1,1,1,5,1,1,1,1,1,3,3,2,1,1,2,2,2,1,2,3,2,2,3,2,2,3,1,1,1,1,1,3,2,4,2,1,1,2,1,2,3,1,1,3,2,3,1,4,2,3,2,5,2,2,2,2,1,3,3,2,2,2,2,1,2,1,2,1,3,5,3,3,4,1,3,3,4,3,2,2,2,2,2,1
"VAB",3,2,3,1,4,2,3,2,2,2,1,1,2,3,2,1,1,6,2,2,3,1,1,2,2,2,2,2,3,2,4,4,1,2,4,1,1,6,4,7,2,3,2,1,3,1,1,4,1,1,1,1,1,4,5,3,1,1,4,2,1,1,1,2,2,2,3,2,2,4,1,2,2,3,1,4,1,1,1,1,1,1,1,3,4,2,2,2,2,6,1,4,1,2,2,4,2,2,2,2,1,4,3,2,2,1,2,2,3,1,2,1,3,5,3,3,4,1,3,3,3,2,2,1,2,2,2,1
"TRG",4,2,3,2,3,1,2,1,1,2,1,1,2,2,2,1,1,6,3,3,1,1,1,2,1,1,2,3,4,3,4,1,2,2,3,1,1,1,2,3,1,6,1,3,3,2,3,6,1,1,1,1,1,1,7,4,1,1,2,1,1,1,1,4,3,1,4,1,1,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,2,1,5,1,1,1,1,1,1,3,3,2,2,2,2,2,1,2,2,3,4,4,4,1,1,1,1,2,1,2,2,1,2,2,1
"SDP",4,1,3,2,3,2,2,1,1,1,1,1,1,1,2,1,1,5,4,6,2,2,1,2,3,2,3,1,4,1,3,3,1,2,1,2,1,4,2,4,2,4,1,1,1,1,5,5,1,1,1,1,1,4,3,1,3,1,4,1,3,1,2,4,1,3,1,2,2,1,2,5,1,2,1,3,1,7,6,1,1,1,1,1,2,1,1,1,4,4,1,5,1,3,1,5,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,1,1,5,5,4,4,1,4,1,3,2,1,1,1,2,1,1
"DRR",3,3,3,1,4,2,4,1,2,1,1,2,2,2,2,1,1,4,1,1,1,1,1,2,2,2,1,1,4,1,4,1,1,2,3,1,1,2,2,2,1,4,1,1,1,2,4,4,1,4,1,1,1,2,1,1,2,1,3,1,2,1,2,2,3,3,6,2,2,2,1,4,1,2,1,1,1,3,3,3,1,3,1,2,3,3,1,1,3,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,4,2,1,4,1,3,2,3,3,3,1,2,3,3,1
"XXX",2,1,2,1,2,1,2,1,1,2,1,2,2,3,3,1,1,4,1,4,3,1,2,5,4,4,1,1,4,1,3,1,1,2,2,1,4,1,1,2,4,4,2,1,3,1,2,4,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,4,2,3,2,3,4,1,1,2,1,2,1,4,1,4,1,1,1,4,3,3,4,1,4,1,2,1,2,2,2,4,1,4,1,1,1,1,1,1,4,2,2,1,2,2,2,1,2,1,2,2,1,3,1,1,2,1,2,2,2,1,1,1,1,1
