"","CAG","Kingdom","Phylum","Class","Order","Family","Genus","Specie"
"1","GCA_900248245|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Acetatifactor|s","Acetatifactor_muris"
"2","GCA_000368485|k","Bacteria|p","Proteobacteria|c","Gammaproteobacteria|o","Pseudomonadales|f","Moraxellaceae|g","Acinetobacter|s","Acinetobacter_guillouiae"
"3","GCA_002201475|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Acutalibacter|s","Acutalibacter_muris"
"4","GCA_003428235|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Adlercreutzia|s","Adlercreutzia_equolifaciens"
"5","GCA_003096535|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Agathobaculum|s","Agathobaculum_butyriciproducens"
"6","GCA_002885515|k","Bacteria|p","Verrucomicrobia|c","Verrucomicrobiae|o","Verrucomicrobiales|f","Akkermansiaceae|g","Akkermansia|s","Akkermansia_muciniphila"
"7","GCA_001405655|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_finegoldii"
"8","GCA_000231275|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_indistinctus"
"9","GCA_000786575|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_inops"
"10","GCA_002159215|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_onderdonkii"
"11","GCA_001915335|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_putredinis"
"12","GCA_004558275|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_shahii"
"13","GCA_000154565|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Anaerotruncus|s","Anaerotruncus_colihominis"
"14","GCA_000403395|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Anaerotruncus|s","Anaerotruncus_sp_G3_2012"
"15","GCA_003340305|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Asaccharobacter|s","Asaccharobacter_celatus"
"16","GCA_001552785|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Atopobiaceae|g","Atopobium|s","Atopobium_deltae"
"17","GCA_002959715|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_caccae"
"18","GCA_002221665|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_caecimuris"
"19","GCA_000158035|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_cellulosilyticus"
"20","GCA_000195615|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_clarus"
"21","GCA_000154845|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_coprocola"
"22","GCA_000156075|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_dorei"
"23","GCA_000185605|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_eggerthii"
"24","GCA_900106755|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_faecis"
"25","GCA_000433375|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_faecis_CAG_32"
"26","GCA_000156195|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_finegoldii"
"27","GCA_000598325|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_fragilis"
"28","GCA_003363675|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_intestinalis"
"29","GCA_000382445|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_massiliensis"
"30","GCA_000273175|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_nordii"
"31","GCA_002959635|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_ovatus"
"32","GCA_000187895|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_plebeius"
"33","GCA_000381365|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_salyersiae"
"34","GCA_000434215|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_144"
"35","GCA_000432735|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_443"
"36","GCA_900106605|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_stercoris"
"37","GCA_900109385|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_thetaiotaomicron"
"38","GCA_003438465|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_uniformis"
"39","GCA_000699845|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_vulgatus"
"40","GCA_002161135|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_xylanisolvens"
"41","GCA_003533425|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Barnesiellaceae|g","Barnesiella|s","Barnesiella_intestinihominis"
"42","GCA_001020245|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_bifidum"
"43","GCA_000219455|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_longum"
"44","GCA_000185705|k","Bacteria|p","Proteobacteria|c","Deltaproteobacteria|o","Desulfovibrionales|f","Desulfovibrionaceae|g","Bilophila|s","Bilophila_wadsworthia"
"45","GCA_900461125|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Blautia|s","Blautia_coccoides"
"46","GCA_001404935|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Blautia|s","Blautia_hydrogenotrophica"
"47","GCA_001915615|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Butyricimonas|s","Butyricimonas_synergistica"
"48","GCA_003437885|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Butyricimonas|s","Butyricimonas_virosa"
"49","GCA_000981035|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Catabacteriaceae|g","Catabacter|s","Catabacter_hongkongensis"
"50","GCA_001571425|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Christensenellaceae|g","Christensenella|s","Christensenella_minuta"
"51","GCA_000155435|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiales_unclassified|g","Clostridiales_unclassified|s","Clostridiales_bacterium_1_7_47FAA"
"52","GCA_900165475|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Peptostreptococcaceae|g","Clostridioides|s","Clostridioides_difficile"
"53","GCA_003434055|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_aldenense"
"54","GCA_000158075|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_asparagiforme"
"55","GCA_000371705|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_bolteae"
"56","GCA_000431175|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_bolteae_CAG_59"
"57","GCA_900115855|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_citroniae"
"58","GCA_900102365|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Erysipelatoclostridium|s","Clostridium_cocleatum"
"59","GCA_000156515|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_hylemonae"
"60","GCA_003149285|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Erysipelatoclostridium|s","Clostridium_innocuum"
"61","GCA_000154345|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcaceae_unclassified|s","Clostridium_leptum"
"62","GCA_000158655|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcaceae_unclassified|s","Clostridium_methylpentosum"
"63","GCA_000154505|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_scindens"
"64","GCA_000364165|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_sp_ASF356"
"65","GCA_000364245|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_sp_ASF502"
"66","GCA_000433735|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_sp_CAG_167"
"67","GCA_000436755|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_sp_CAG_253"
"68","GCA_000435795|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_sp_CAG_58"
"69","GCA_000435335|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Clostridium|s","Clostridium_sp_CAG_964"
"70","GCA_002160695|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Erysipelatoclostridium|s","Clostridium_spiroforme"
"71","GCA_000189595|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnoclostridium|s","Clostridium_symbiosum"
"72","GCA_001404695|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Coriobacteriaceae|g","Collinsella|s","Collinsella_aerofaciens"
"73","GCA_000333815|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Coriobacteriaceae|g","Enorma|s","Collinsella_massiliensis"
"74","GCA_000473955|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Barnesiellaceae|g","Coprobacter|s","Coprobacter_fastidiosus"
"75","GCA_000803105|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Barnesiellaceae|g","Coprobacter|s","Coprobacter_secundus"
"76","GCA_001404315|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Coprococcus|s","Coprococcus_eutactus"
"77","GCA_003538575|k","Bacteria|p","Proteobacteria|c","Deltaproteobacteria|o","Desulfovibrionales|f","Desulfovibrionaceae|g","Desulfovibrio|s","Desulfovibrio_piger"
"78","GCA_003150275|k","Bacteria|p","Proteobacteria|c","Deltaproteobacteria|o","Desulfovibrionales|f","Desulfovibrionaceae|g","Desulfovibrionaceae_unclassified|s","Desulfovibrionaceae_bacterium"
"79","GCA_003202105|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Dielma|s","Dielma_fastidiosa"
"80","GCA_000403455|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Dorea|s","Dorea_sp_5_2"
"81","GCA_000024265|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Eggerthella|s","Eggerthella_lenta"
"82","GCA_001722655|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Eisenbergiella|s","Eisenbergiella_tayi"
"83","GCA_002159295|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Coriobacteriaceae|g","Enorma|s","Enorma_massiliensis"
"84","GCA_000394195|k","Bacteria|p","Firmicutes|c","Bacilli|o","Lactobacillales|f","Enterococcaceae|g","Enterococcus|s","Enterococcus_faecalis"
"85","GCA_900447935|k","Bacteria|p","Firmicutes|c","Bacilli|o","Lactobacillales|f","Enterococcaceae|g","Enterococcus|s","Enterococcus_gallinarum"
"86","GCA_004801615|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Enterorhabdus|s","Enterorhabdus_caecimuris"
"87","GCA_003434415|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Erysipelatoclostridium|s","Erysipelatoclostridium_ramosum"
"88","GCA_003318755|k","Bacteria|p","Proteobacteria|c","Gammaproteobacteria|o","Enterobacterales|f","Enterobacteriaceae|g","Escherichia|s","Escherichia_coli"
"89","GCA_000146185|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Eubacteriaceae|g","Eubacterium|s","Eubacterium_eligens"
"90","GCA_003438715|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Eubacterium_rectale"
"91","GCA_000154325|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcaceae_unclassified|s","Eubacterium_siraeum"
"92","GCA_000403845|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Eubacteriaceae|g","Eubacterium|s","Eubacterium_sp_14_2"
"93","GCA_000432435|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Eubacteriaceae|g","Eubacterium|s","Eubacterium_sp_CAG_180"
"94","GCA_000436835|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Eubacteriaceae|g","Eubacterium|s","Eubacterium_sp_CAG_251"
"95","GCA_003287415|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Faecalibacterium|s","Faecalibacterium_prausnitzii"
"96","GCA_900459315|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Faecalicoccus|s","Faecalicoccus_pleomorphus"
"97","GCA_000469305|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Faecalitalea|s","Faecalitalea_cylindroides"
"98","GCA_000492175|k","Bacteria|p","Firmicutes|c","Firmicutes_unclassified|o","Firmicutes_unclassified|f","Firmicutes_unclassified|g","Firmicutes_unclassified|s","Firmicutes_bacterium_ASF500"
"99","GCA_000434635|k","Bacteria|p","Firmicutes|c","Firmicutes_unclassified|o","Firmicutes_unclassified|f","Firmicutes_unclassified|g","Firmicutes_unclassified|s","Firmicutes_bacterium_CAG_110"
"100","GCA_000435715|k","Bacteria|p","Firmicutes|c","Firmicutes_unclassified|o","Firmicutes_unclassified|f","Firmicutes_unclassified|g","Firmicutes_unclassified|s","Firmicutes_bacterium_CAG_145"
"101","GCA_000435395|k","Bacteria|p","Firmicutes|c","Firmicutes_unclassified|o","Firmicutes_unclassified|f","Firmicutes_unclassified|g","Firmicutes_unclassified|s","Firmicutes_bacterium_CAG_94"
"102","GCA_001688625|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Flavonifractor|s","Flavonifractor_plautii"
"103","GCA_001405555|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Fusicatenibacter|s","Fusicatenibacter_saccharivorans"
"104","GCA_003340385|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Gordonibacter|s","Gordonibacter_pamelaeae"
"105","GCA_003433795|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Harryflintia|s","Harryflintia_acetispora"
"106","GCA_000157995|k","Bacteria|p","Firmicutes|c","Erysipelotrichia|o","Erysipelotrichales|f","Erysipelotrichaceae|g","Holdemania|s","Holdemania_filiformis"
"107","GCA_001405675|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Hungatella|s","Hungatella_hathewayi"
"108","GCA_003096335|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiales_unclassified|g","Intestinimonas|s","Intestinimonas_butyriciproducens"
"109","GCA_001405835|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospira|s","Lachnospira_pectinoschiza"
"110","GCA_000403495|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_10_1"
"111","GCA_000403275|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_28_4"
"112","GCA_000403255|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_3_1"
"113","GCA_000403475|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_3_2"
"114","GCA_000403315|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_A2"
"115","GCA_000403215|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_A4"
"116","GCA_000403335|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_COE1"
"117","GCA_000403295|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Lachnospiraceae_unclassified|s","Lachnospiraceae_bacterium_M18_1"
"118","GCA_001654675|k","Bacteria|p","Firmicutes|c","Bacilli|o","Lactobacillales|f","Lactobacillaceae|g","Lactobacillus|s","Lactobacillus_aviarius"
"119","GCA_000364205|k","Bacteria|p","Firmicutes|c","Bacilli|o","Lactobacillales|f","Lactobacillaceae|g","Lactobacillus|s","Lactobacillus_murinus"
"120","GCA_000016825|k","Bacteria|p","Firmicutes|c","Bacilli|o","Lactobacillales|f","Lactobacillaceae|g","Lactobacillus|s","Lactobacillus_reuteri"
"121","GCA_002253325|k","Bacteria|p","Firmicutes|c","Bacilli|o","Lactobacillales|f","Lactobacillaceae|g","Lactobacillus|s","Lactobacillus_taiwanensis"
"122","GCA_002915525|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiaceae|g","Lactonifactor|s","Lactonifactor_longoviformis"
"123","GCA_003112755|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiales_unclassified|g","Lawsonibacter|s","Lawsonibacter_asaccharolyticus"
"124","GCA_002874775|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Clostridiales_unclassified|g","Monoglobus|s","Monoglobus_pectinilyticus"
"125","GCA_003024805|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Muribaculaceae|g","Muribaculaceae_unclassified|s","Muribaculaceae_bacterium_DSM_103720"
"126","GCA_002201515|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Muribaculaceae|g","Muribaculum|s","Muribaculum_intestinale"
"127","GCA_003529505|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Odoribacter|s","Odoribacter_splanchnicus"
"128","GCA_000403435|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Oscillospiraceae|g","Oscillibacter|s","Oscillibacter_sp_1_3"
"129","GCA_001916835|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Oscillospiraceae|g","Oscillibacter|s","Oscillibacter_sp_57_20"
"130","GCA_001405935|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Tannerellaceae|g","Parabacteroides|s","Parabacteroides_distasonis"
"131","GCA_000969835|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Tannerellaceae|g","Parabacteroides|s","Parabacteroides_goldsteinii"
"132","GCA_000156495|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Tannerellaceae|g","Parabacteroides|s","Parabacteroides_johnsonii"
"133","GCA_003503315|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Tannerellaceae|g","Parabacteroides|s","Parabacteroides_merdae"
"134","GCA_000233955|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Paraprevotella|s","Paraprevotella_clara"
"135","GCA_000205165|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Paraprevotella|s","Paraprevotella_xylaniphila"
"136","GCA_000205025|k","Bacteria|p","Proteobacteria|c","Betaproteobacteria|o","Burkholderiales|f","Sutterellaceae|g","Parasutterella|s","Parasutterella_excrementihominis"
"137","GCA_003269275|k","Bacteria|p","Firmicutes|c","Negativicutes|o","Acidaminococcales|f","Acidaminococcaceae|g","Phascolarctobacterium|s","Phascolarctobacterium_faecium"
"138","GCA_000436095|k","Bacteria|p","Firmicutes|c","Negativicutes|o","Acidaminococcales|f","Acidaminococcaceae|g","Phascolarctobacterium|s","Phascolarctobacterium_sp_CAG_266"
"139","GCA_000157935|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Prevotella|s","Prevotella_copri"
"140","GCA_000436695|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Prevotella|s","Prevotella_sp_CAG_1185"
"141","GCA_000434975|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Prevotella|s","Prevotella_sp_CAG_520"
"142","GCA_000437675|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Prevotella|s","Prevotella_sp_CAG_891"
"143","GCA_002933955|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Prevotella|s","Prevotella_sp_MGM2"
"144","GCA_000434815|k","Bacteria|p","Proteobacteria|c","Proteobacteria_unclassified|o","Proteobacteria_unclassified|f","Proteobacteria_unclassified|g","Proteobacteria_unclassified|s","Proteobacteria_bacterium_CAG_139"
"145","GCA_001406815|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Roseburia|s","Roseburia_faecis"
"146","GCA_001405535|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Roseburia|s","Roseburia_inulinivorans"
"147","GCA_000177015|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcaceae_unclassified|s","Ruminococcaceae_bacterium_D16"
"148","GCA_900113995|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcaceae_unclassified|s","Ruminococcaceae_bacterium_D5"
"149","GCA_000723465|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcus|s","Ruminococcus_bicirculans"
"150","GCA_900291485|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcus|s","Ruminococcus_bromii"
"151","GCA_000468015|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruminococcus|s","Ruminococcus_callidus"
"152","GCA_001481375|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Ruthenibacterium|s","Ruthenibacterium_lactatiformans"
"153","GCA_002221595|k","Bacteria|p","Proteobacteria|c","Betaproteobacteria|o","Burkholderiales|f","Sutterellaceae|g","Turicimonas|s","Turicimonas_muris"
