Fruit; Fruit juice;Salad;Vegetables;Chips ;Beans ;Fibre ;Wholemeal ;Cheese;Crisps ;Sweet biscuits;Ice cream;Non-alcoholic fizzy drinks ;Whole meats_beef;Whole meats_chicken;Processed meats_beef;Processed meats_chicken;white_fish_batter;white_fish ;oily_fish
6;1;6;8;1;7;6;7;6;1;3;1;1;2;3;1;1;3;3;2
6;6;1;8;2;4;8;8;5;1;4;1;1;4;4;2;2;2;2;4
3;4;3;4;1;3;5;2;5;1;4;1;1;4;2;2;1;2;1;1
5;1;2;5;3;2;4;4;6;2;6;3;3;5;5;3;3;1;3;3
4;1;5;4;2;4;5;2;3;1;4;2;1;3;4;1;1;1;1;3
6;5;4;4;3;4;5;2;7;1;4;1;1;4;3;2;2;1;3;2
6;1;5;6;2;4;6;6;6;1;1;1;2;5;4;1;2;1;4;4
5;1;3;6;1;6;6;6;5;1;1;1;1;4;4;1;1;1;3;3
6;1;4;5;1;2;3;5;7;2;3;1;7;5;4;2;1;1;3;3
4;6;5;6;2;2;6;5;4;2;5;1;1;4;4;1;1;1;2;3
6;1;6;6;1;4;6;6;6;2;4;1;1;4;4;1;1;1;3;2
6;1;6;6;1;4;6;6;6;2;4;1;1;4;4;1;1;1;3;2
6;6;4;5;2;2;5;4;6;2;3;2;2;3;3;3;1;2;1;2